﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6nFdjV1Ko66O111x74K2kn","Dear God - Remastered 2001","XTC","Skylarking","1","15","219506","spotify:user:padishahpiper","2019-10-19T01:36:01Z"
"spotify:track:6CT0MVgHnoAUXrSrnlwfWx","I Know There's Something Going On","Frida","Something's Going On","1","6","326746","spotify:user:padishahpiper","2019-10-19T01:36:08Z"
"spotify:track:77NwdlKUIMS3gvvJeO5KK1","Something About You","Level 42","World Machine","1","1","265000","spotify:user:padishahpiper","2019-10-19T01:36:20Z"
"spotify:track:3yO1OjqT59JyjHaQZcCYDX","Burning Down the House - 2005 Remaster","Talking Heads","Speaking in Tongues (Deluxe Version)","1","1","241773","spotify:user:padishahpiper","2019-10-19T01:36:48Z"
"spotify:track:3CSLUIrI2KPMulHR5bh17O","Harden My Heart","Quarterflash","Quarterflash","1","1","232626","spotify:user:padishahpiper","2019-10-19T01:37:05Z"
"spotify:track:5pAqVAETbNvUNSwWrLoERD","No New Tale to Tell","Love and Rockets","Earth Sun Moon","1","4","206373","spotify:user:padishahpiper","2019-10-19T01:37:10Z"
"spotify:track:3mbcW1KDbnkdgjq03JHiQ6","The Warrior","Patty Smyth","Patty Smyth's Greatest Hits Featuring Scandal","1","1","238800","spotify:user:padishahpiper","2019-10-19T01:37:20Z"
"spotify:track:4frelkLhC4ATqJH9VGJztu","Spirits In The Material World","The Police","Ghost In The Machine (Remastered 2003)","1","1","179066","spotify:user:padishahpiper","2019-10-19T01:37:25Z"
"spotify:track:1LiFE52qc9u32JR0CqHZKz","The Safety Dance - Short Version","Men Without Hats","Rhythm Of Youth (Expanded Edition)","1","11","166826","spotify:user:padishahpiper","2019-10-19T01:37:27Z"
"spotify:track:6ITuEsxEy2qPhqMowdDAeI","Train in Vain - Remastered","The Clash","London Calling (Remastered)","1","19","194666","spotify:user:padishahpiper","2019-10-19T01:38:01Z"
"spotify:track:5veJDT0MLsLbhYsx42GXUD","Don't Stand So Close To Me","The Police","Zenyatta Mondatta (Remastered 2003)","1","1","242666","spotify:user:padishahpiper","2019-10-19T01:38:15Z"
"spotify:track:1Oo2c7AkswvVkO0ZDTiOZs","Blood And Roses","The Smithereens","Especially For You","1","9","216933","spotify:user:padishahpiper","2019-10-19T01:38:25Z"
"spotify:track:1QgNYmqwPGpeDpycrkYDzp","Everywhere I Go","The Call","Reconciled","1","1","262373","spotify:user:padishahpiper","2019-10-19T01:38:45Z"
"spotify:track:3G19lVvFje61D7q1uG3QjD","Add It Up","Violent Femmes","Violent Femmes","1","4","284333","spotify:user:padishahpiper","2019-10-19T01:39:09Z"
"spotify:track:638poNnWFgzt7UJBQ5SWtM","Election Day - 2010 Remaster","Arcadia","So Red The Rose","1","1","329106","spotify:user:padishahpiper","2019-10-19T01:39:20Z"
"spotify:track:5fVFdkU5U6ULjXgwm5q89Q","19","Paul Hardcastle","The Very Best Of","1","1","210853","spotify:user:padishahpiper","2019-10-19T01:39:37Z"
"spotify:track:44aTAUBF0g6sMkMNE8I5kd","Every Little Thing She Does Is Magic","The Police","Ghost In The Machine (Remastered 2003)","1","2","260573","spotify:user:padishahpiper","2019-10-19T01:39:41Z"
"spotify:track:5xkNd7kCRmjT2DxSAYVVyC","And We Danced","The Hooters","Super Hits","1","3","227184","spotify:user:padishahpiper","2019-10-19T01:39:57Z"
"spotify:track:4rAnSE0E0f33unxXsQa5Fr","Lunatic Fringe","Red Rider","As Far As Siam","1","1","263066","spotify:user:padishahpiper","2019-10-19T01:40:29Z"
"spotify:track:5DPpbYqJi4OfgnV8fz1JsQ","Twilight Zone","Golden Earring","The Continuing Story Of Radar Love","1","12","474466","spotify:user:padishahpiper","2019-10-19T01:41:50Z"
"spotify:track:6LQvtsFHnhn28rW4qU8UTB","Beat's So Lonely","Charlie Sexton","Pictures For Pleasure","1","2","316773","spotify:user:padishahpiper","2019-10-19T01:42:21Z"
"spotify:track:6QqK6a1CmV4L504uMQaGDH","Freeze-Frame","The J. Geils Band","Freeze Frame","1","1","237506","spotify:user:padishahpiper","2019-10-19T01:42:28Z"
"spotify:track:39shmbIHICJ2Wxnk1fPSdz","Should I Stay or Should I Go - Remastered","The Clash","Combat Rock (Remastered)","1","3","188986","spotify:user:padishahpiper","2019-10-19T01:42:31Z"
"spotify:track:2qxrA7khrMA6icoq9cn2wY","Let's Go All The Way","Sly Fox","Guilty Pleasures","1","12","307653","spotify:user:padishahpiper","2019-10-19T01:42:44Z"
"spotify:track:1lJZSsMoWEbrgaY6CxPMf8","Would I Lie to You? - Remastered Version","Eurythmics, Annie Lennox, Dave Stewart","Be Yourself Tonight","1","1","268240","spotify:user:padishahpiper","2019-10-19T01:42:51Z"
"spotify:track:6wVViUl2xSRoDK2T7dMZbR","Bizarre Love Triangle","New Order","Brotherhood (Collector's Edition)","1","6","263213","spotify:user:padishahpiper","2019-10-21T16:18:56Z"
"spotify:track:0Qv7xi6uPSqH2k82tOkGSt","Mad World","Tears For Fears","The Hurting","1","2","215400","spotify:user:padishahpiper","2019-10-21T16:19:09Z"
"spotify:track:2h47SG8bNphmicAll4H9RV","Dead Man's Party","Oingo Boingo","Dead Man's Party","1","2","381626","spotify:user:padishahpiper","2019-10-21T16:19:33Z"
"spotify:track:58E1XVmZTODC67YNjneuXM","Tainted Love","Soft Cell","Non-Stop Erotic Cabaret","1","2","153840","spotify:user:padishahpiper","2019-10-21T16:21:25Z"
"spotify:track:400ZJAUFuEuIGXhr7ie4xf","Wrapped Around Your Finger","The Police","Synchronicity (Remastered 2003)","1","9","313706","spotify:user:padishahpiper","2019-10-21T17:15:51Z"
"spotify:track:0eZvCQAK6hsPSlcfqzREvB","Synchronicity I","The Police","Synchronicity (Remastered 2003)","1","1","203000","spotify:user:padishahpiper","2019-10-21T17:16:02Z"
"spotify:track:6mJQe0vTIojlxwyMwwy6YR","Think I'm In Love","Eddie Money","No Control","1","3","188533","spotify:user:padishahpiper","2019-10-23T05:05:47Z"
"spotify:track:22CIOfLZB9z8He7WgHYAgH","Two Tickets to Paradise","Eddie Money","Eddie Money","1","1","237093","spotify:user:padishahpiper","2019-10-23T05:05:57Z"
"spotify:track:1nmZ8yqKkfooOuYvtFctDp","Heat Of The Moment","Asia","Asia","1","1","227626","spotify:user:padishahpiper","2019-10-23T06:11:26Z"
"spotify:track:49NDegc7RQyvq6mhAs06p6","Only Time Will Tell","Asia","Asia","1","2","285000","spotify:user:padishahpiper","2019-10-23T06:11:36Z"
"spotify:track:4bHsxqR3GMrXTxEPLuK5ue","Don't Stop Believin'","Journey","Escape","1","1","250986","spotify:user:padishahpiper","2019-10-23T06:11:55Z"
"spotify:track:4ECNtOnqzxutZkXP4TE3n3","Separate Ways (Worlds Apart)","Journey","Frontiers","1","1","323706","spotify:user:padishahpiper","2019-10-23T06:12:07Z"
